mQp,mUb,Uo,my1,my,h1,mUp,mQ0,y1,vol1,y2,vol2
5.72607289968034e-05,1,1,0.489642516610507,0.106148656881395,0.5,5.72607289968034e-05,5.20115758257053e-05,0.489642516610507,0,0.106148656881395,0
5.68174620460493e-05,1,1,0.489376536085893,0.106450900771016,0.5,5.68174620460493e-05,5.20856792290274e-05,0.489376536085893,0,0.106450900771016,0
5.68298207217659e-05,1,1,0.489111485755353,0.106752645627093,0.5,5.68298207217659e-05,5.21594441324239e-05,0.489111485755353,0,0.106752645627093,0
5.85420834908616e-05,1,1,0.48884860905454,0.107055138761887,0.5,5.85420834908616e-05,5.22328727101241e-05,0.48884860905454,0,0.107055138761887,0
5.85424436826615e-05,1,1,0.488584493335337,0.107354971387109,0.5,5.85424436826615e-05,5.23059671138784e-05,0.488584493335337,0,0.107354971387109,0
5.71148925223616e-05,1,1,0.488319421748883,0.107652430497105,0.5,5.71148925223616e-05,5.23787294732898e-05,0.488319421748883,0,0.107652430497105,0
5.86429577351441e-05,1,1,0.488057776984171,0.10795190260761,0.5,5.86429577351441e-05,5.24511618961399e-05,0.488057776984171,0,0.10795190260761,0
5.79358673374494e-05,1,1,0.487794367431832,0.108248199919685,0.5,5.79358673374494e-05,5.25232664687088e-05,0.487794367431832,0,0.108248199919685,0
5.78675532833681e-05,1,1,0.487532066187774,0.108544199323511,0.5,5.78675532833681e-05,5.25950452560884e-05,0.487532066187774,0,0.108544199323511,0
6.04167139220846e-05,1,1,0.487270147648055,0.108839178993402,0.5,6.04167139220846e-05,5.26665003024905e-05,0.487270147648055,0,0.108839178993402,0
6.0979881527896e-05,1,1,0.487026962048165,0.109133952704836,0.5,6.0979881527896e-05,5.27376354144674e-05,0.487026962048165,0,0.109133952704836,0
6.01378323991279e-05,1,1,0.486782823499905,0.109426408042427,0.5,6.01378323991279e-05,5.28084543644453e-05,0.486782823499905,0,0.109426408042427,0
5.98181251943913e-05,1,1,0.486539658734734,0.10971847543865,0.5,5.98181251943913e-05,5.28789591152143e-05,0.486539658734734,0,0.10971847543865,0
6.11295375909114e-05,0,1,0.486320291129805,0.109989551686026,0.5,6.11295375909114e-05,5.29439255716509e-05,0.486320291129805,0,0.109989551686026,0
6.12541138382666e-05,0,1,0.486713098873863,0.109646153184788,0.5,6.12541138382666e-05,5.28611822937288e-05,0.486713098873863,0,0.109646153184788,0
